,log2,mRNA_RSEM,mRNA_Diploid,mRNA_Normal,mRNA_all
7118,0.005,2787.21,0.476,0.2803,0.5723
7119,0.006,2645.28,0.28,-0.0075,0.3941
7120,-0.007,4120.62,2.3177,2.4333,1.905
7121,-0.038,2518.71,0.1052,-0.2775,0.227
7122,-0.028,2367.58,-0.1035,-0.6182,0.016
7123,0.018,2425.75,-0.0232,-0.4846,0.0988
7124,-0.025,1783.39,-0.9104,-2.1783,-0.9497
7125,-0.017,2774.96,0.4591,0.256,0.5572
7126,-0.035,2768.79,0.4506,0.2438,0.5496
7127,-0.019,1975.06,-0.6457,-1.6163,-0.6018
7128,-0.004,1077.12,-1.8859,-4.9539,-2.6679
7129,-0.02,3015.26,0.791,0.7134,0.8403
7130,-0.064,1242.18,-1.6579,-4.1691,-2.1821
7131,-0.023,3860.96,1.9591,2.0749,1.6831
7132,-0.002,2977.29,0.7386,0.6436,0.7971
7133,0.03,2967.39,0.7249,0.6252,0.7858
7134,-0.014,3274.97,1.1497,1.1684,1.122
7135,-0.009,3625.04,1.6332,1.7276,1.4682
7136,-0.131,2872.7,0.5941,0.4467,0.6752
7137,-0.099,3938.66,2.0664,2.1846,1.7511
7138,0.03,3232.98,1.0917,1.0973,1.078
7139,-0.01,3681.93,1.7118,1.8134,1.5213
7140,-0.04,2416.22,-0.0364,-0.5062,0.0854
7141,-0.033,3166.82,1.0003,0.9834,1.0075
7142,0.235,3544.08,1.5214,1.6032,1.3912
7143,-0.007,2381.43,-0.0844,-0.5861,0.0359
7144,0.002,2534.51,0.127,-0.243,0.2483
7145,0.007,2640.77,0.2738,-0.0169,0.3883
7146,-0.017,2824.7,0.5278,0.3539,0.6178
7147,-0.018,2626.16,0.2536,-0.0474,0.3694
7148,-0.02,2993.01,0.7603,0.6726,0.8151
7149,-0.001,3864.84,1.9644,2.0804,1.6866
7150,-0.049,2816.11,0.5159,0.3371,0.6074
7151,-0.093,3559.21,1.5423,1.6267,1.4057
7152,-0.012,2605.74,0.2254,-0.0904,0.3428
7153,0.002,1930.36,-0.7074,-1.7423,-0.6798
7154,-0.01,2231.93,-0.2909,-0.9431,-0.1851
7155,0.001,2174.73,-0.3699,-1.086,-0.2736
7156,0.021,1420.22,-1.412,-3.4318,-1.7257
7157,0.03,2237.5,-0.2832,-0.9294,-0.1766
7158,0.005,2443.81,0.0017,-0.4437,0.1241
7159,0.004,1971.83,-0.6501,-1.6253,-0.6074
7160,-0.016,2273.6733,-0.2332,-0.841,-0.1219
7161,-0.411,2386.5156,-0.0774,-0.5743,0.0432
7162,-0.021,2486.64,0.0609,-0.348,0.1833
7163,0.051,3512.54,1.4778,1.554,1.3607
7164,0.006,1967.57,-0.656,-1.6372,-0.6147
7165,-0.009,2378.81,-0.088,-0.5921,0.0322
7166,0.017,1475.5,-1.3357,-3.2216,-1.5956
7167,-0.002,1613.57,-1.145,-2.7292,-1.2907
7168,0.012,1711.75,-1.0094,-2.404,-1.0894
7169,-0.013,2088.79,-0.4886,-1.308,-0.411
7170,0.01,2089.11,-0.4882,-1.3072,-0.4105
7171,-0.004,2201.37,-0.3331,-1.019,-0.2321
7172,0.002,2208.99,-0.3226,-1.0,-0.2203
7173,-0.003,1920.2,-0.7214,-1.7714,-0.6978
7174,-0.032,2447.92,0.0074,-0.4345,0.1298
7175,-0.025600000000000005,2316.25,-0.1744,-0.7389,-0.0587
7176,0.046,1708.54,-1.0138,-2.4144,-1.0958
7177,-0.004,2353.63,-0.1228,-0.6507,-0.0041
7178,0.003,2235.35,-0.2862,-0.9346,-0.1798
7179,-0.067,1974.34,-0.6467,-1.6183,-0.603
7180,0.001,2304.39,-0.1908,-0.7672,-0.0762
7181,0.056,1376.03,-1.473,-3.6058,-1.8334
7182,0.013,1952.25,-0.6772,-1.6802,-0.6414
7183,-0.067,1807.95,-0.5847,-1.31936,-0.4843
7184,0.53,1935.93,-0.429,-0.9278299999999999,-0.3074
7185,0.019,1317.93,-1.1806,-2.63994,-1.3021
7186,-0.121,1951.84,-0.4097,-1.39617,-0.2862
7187,0.34,2475.37,0.227,0.0010700000000000154,0.3285
7188,-0.045,2586.24,0.3618,0.13247,0.4419
7189,0.009,1252.19,-1.2605,-2.23374,-1.4344
7190,-0.136,2137.8,-0.1835,-0.13579999999999998,-0.0508
7191,0.198,1293.34,-1.2105,-1.8790099999999998,-1.3508
7192,0.03,2055.88,-0.2831,-0.6526400000000001,-0.1519
7193,-0.067,2687.03,0.4844,0.49973,0.5408
7194,0.052,1479.53,-0.9841,-2.13777,-1.0029
7195,0.201,2575.94,0.3493,0.15814,0.4315
7196,0.215,3016.98,0.8857,0.72521,0.8405
7197,-0.051,1762.85,-0.6395,-2.32117,-0.5497
7198,-0.085,2850.8864799999997,0.32158,0.031489999999999976,0.32183
7199,0.134,2747.37,0.5578,0.07624999999999997,0.5982
7200,0.02,1293.96,-1.2097,-1.8790099999999998,-1.3495
7201,-0.265,2379.64,0.1106,-0.31782000000000005,0.2265
7202,0.006,2292.65,0.0048,-0.7020100000000001,0.1301
7203,-0.444,1130.82,-1.4081,-3.5445400000000005,-1.6981
7204,-0.059,2306.77,0.022,-0.72359,0.146
7205,0.046,1435.28,-1.0379,-1.9098000000000002,-1.0814
7206,-0.164,2047.8,-0.293,-0.9268199999999999,-0.1621
7207,-0.145,1592.79,-0.8463,-1.8278000000000003,-0.8121
7208,-0.049,2953.15,0.808,0.7743800000000001,0.7851
7209,0.091,1610.72,-0.8245,-2.47351,-0.7832
7210,-0.006,3125.74,0.5683,-0.0949,0.6091
7211,0.002,3545.94,1.1883,0.36,1.0735
7212,-0.001,2770.84,0.0446,-0.5295,0.1653
7213,0.012,2603.73,-0.202,-0.7538,-0.0637
7214,0.001,4270.18,2.257,1.0302,1.7579
7215,0.003,1950.82,-1.1654,-1.7947,-1.1265
7216,0.003,3113.7,0.5505,-0.1088,0.5949
7217,0.0,3408.31,0.9852,0.2172,0.9278
7218,0.003,3767.69,1.5155,0.5787,1.2969
7219,-0.003,3620.88,1.2989,0.4354,1.1505
7220,-0.002,3217.64,0.7039,0.0096,0.7158
7221,0.004,1817.8,-1.3617,-2.0493,-1.3865
7222,0.007,2733.02,-0.0112,-0.579,0.1147
7223,0.0,4577.49,2.7104,1.2808,2.0138
7224,-0.006,1156.92,-2.3369,-3.6781,-3.0497
7225,-0.003,1866.38,-1.29,-1.9542,-1.2894
7226,0.003,3062.96,0.4756,-0.168,0.5344
7227,-0.032,2614.02,-0.1868,-0.7395,-0.0492
7228,-0.043,3031.74,0.4295,-0.205,0.4967
7229,-0.011,4768.76,2.9927,1.4285,2.1645
7230,0.001,3639.86,1.3269,0.4543,1.1698
7231,0.0,3128.6,0.5725,-0.0916,0.6125
7232,0.036,2816.21,0.1115,-0.4709,0.2251
7233,0.0,3952.1,1.7876,0.7511,1.4728
7234,-0.008,3683.8,1.3917,0.4975,1.214
7235,0.0,2968.56,0.3363,-0.2809,0.4191
7236,0.002,3175.83,0.6422,-0.0375,0.6676
7237,0.0,3224.97,0.7147,0.0178,0.7242
7238,-0.001,2876.35,0.2003,-0.3947,0.3029
7239,-0.051,2882.12,0.2088,-0.3875,0.3103
7240,0.0,2471.48,-0.3972,-0.9417,-0.2556
7241,0.002,4242.56,2.2162,1.0068,1.734
7242,0.008,2180.64,-0.8263,-1.3931,-0.7165
7243,0.0,2478.9,-0.3862,-0.9309,-0.2446
7244,0.001,4123.42,2.0404,0.9041,1.6291
7245,0.002,3078.58,0.4987,-0.1497,0.5531
7246,-0.002,2537.79,-0.2993,-0.8463,-0.1581
7247,0.006,2538.85,-0.2978,-0.8447,-0.1566
7248,0.028,2571.66,-0.2493,-0.7984,-0.1093
7249,-0.001,3465.21,1.0692,0.2769,0.9887
7250,0.001,2607.14,-0.197,-0.749,-0.0589
7251,-0.002,2521.82,-0.3229,-0.869,-0.1814
7252,-0.001,2804.88,0.0948,-0.4854,0.2103
7253,-0.01,4136.42,2.0596,0.9154,1.6407
7254,0.0,1879.05,-1.2714,-1.9298,-1.2645
7255,0.001,2404.55,-0.4959,-1.0407,-0.3567
7256,-0.001,2678.89,-0.0911,-0.6511,0.0411
7257,0.004,2725.47,-0.0224,-0.589,0.1046
7258,0.111,1728.46,-1.4936,-2.231,-1.572
7259,0.02,2217.12,-0.7725,-1.3333,-0.6555
7260,0.0,2047.1,-1.0234,-1.621,-0.9492
7261,0.007,2390.93,-0.516,-1.0612,-0.3776
7262,0.012,2387.57,-0.521,-1.0663,-0.3828
7263,-0.005,2457.68,-0.4175,-0.9619,-0.2762
7264,-0.01,2593.45,-0.2172,-0.768,-0.0783
7265,0.096,1396.8,-1.983,-2.999,-2.3562
7266,0.0,2269.05,-0.6959,-1.2498,-0.5702
7267,0.01,1674.8,-1.5727,-2.3447,-1.6881
7268,0.006,2044.39,-1.0274,-1.6258,-0.9541
7269,0.0,1162.4,-2.3288,-3.6611,-3.0323
7270,0.065,2305.34,-0.6423,-1.1926,-0.5118
